INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
Brazosport College,Lake Jackson,TX,2,1,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3217,0.5182,0.0768,0.3593,0.0096,0.0034,0.0003,0.0264,0,0.0059,0.7062,4048,NULL,0.1766,1,NULL,0.8462,NULL,0.0315,0.3385,7750,86.0408875,0.607843137,0.168886755,NULL,29900,0.502808988
Brookhaven College,Farmers Branch,TX,2,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10365,0.296,0.2017,0.3525,0.101,0.0043,0.0012,0.0086,0.0034,0.0313,0.7967,6881,NULL,0.2665,NULL,0.6296,NULL,0.4565,0.086,0.467,PrivacySuppressed,PrivacySuppressed,0.604294479,NULL,0.122729091,37500,0.585760534
Capitol City Trade and Technical School,Austin,TX,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,165,0.3152,0.1636,0.4424,0.0364,0.0121,0.0121,0,0,0.0182,0,NULL,28051,0.8472,NULL,0.7857,NULL,NULL,0.8515,0.4848,9500,105.469475,0.377227723,NULL,0.647176281,26800,0.489548951
Capitol City Careers,Austin,TX,2,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10,0.2,0.3,0.5,0,0,0,0,0,0,0,NULL,27341,0.7407,NULL,0.8,NULL,NULL,0.6296,0.7,PrivacySuppressed,PrivacySuppressed,0.352941176,NULL,0.642001235,23500,0.319727898
Cedar Valley College,Lancaster,TX,1,1,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5833,0.1852,0.544,0.2098,0.0233,0.0027,0.0007,0.0101,0.0015,0.0226,0.7607,6000,NULL,0.4243,NULL,0.4439,NULL,0.3517,0.1598,0.4456,PrivacySuppressed,PrivacySuppressed,0.329608939,NULL,0.182440647,29000,0.484202802
Central Texas College,Killeen,TX,2,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,16076,0.3715,0.2479,0.1586,0.0313,0.0116,0.0165,0.0045,0.0029,0.1551,0.8312,4375,NULL,0.3305,NULL,0.446,NULL,0.1525,0.3037,0.6131,8076.5,89.66570683,0.520453115,NULL,0.181880368,33700,0.509988248
Charles and Sues School of Hair Design,Bryan,TX,1,3,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,19,0.7895,0,0.2105,0,0,0,0,0,0,0,NULL,14799,0.662,NULL,0.8333,NULL,NULL,0.6901,NULL,10750,119.3470375,0.417910448,NULL,0.731145161,14600,0.163636357
Cisco College,Cisco,TX,1,1,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3496,0.5486,0.0629,0.2265,0.0112,0.0029,0.0009,0.0306,0.0195,0.097,0.5538,7434,NULL,0.343,NULL,0.2466,NULL,0.3758,0.198,0.2972,11000,122.12255,0.601232394,NULL,0.144201617,30400,0.464885026
Clarendon College,Clarendon,TX,1,1,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1214,0.6433,0.075,0.2216,0.0016,0.0206,0.0008,0.0041,0.0115,0.0214,0.5255,8527,NULL,0.4962,NULL,0.6359,NULL,0.48,0.3472,0.2117,8500,94.367425,0.540130152,NULL,0.295065347,29200,0.48477158
Concordia University-Texas,Austin,TX,3,2,11,500,525,NULL,23,22,23,NULL,1035,0,1493,0.5017,0.1273,0.221,0.0261,0.0074,0,0,0.0074,0.1092,0.2518,NULL,23257,0.3924,0.4836,NULL,0.4,NULL,0.7106,0.3677,25500,283.102275,0.803305785,0.341895442,NULL,41000,0.706493497
Conlee's College of Cosmetology,Kerrville,TX,1,3,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,51,0.6078,0,0.3922,0,0,0,0,0,0,0.3725,NULL,5468,0.4706,NULL,0.7879,NULL,0.9,0,0.1765,NULL,NULL,NULL,NULL,0.66,PrivacySuppressed,PrivacySuppressed
North Central Texas College,Gainesville,TX,2,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10141,0.6497,0.0936,0.1837,0.0208,0.0072,0.001,0.0291,0.0087,0.0062,0.628,5476,NULL,0.2711,NULL,0.4925,NULL,0.4991,0.2177,0.2756,7350,81.6000675,0.56678487,NULL,0.163334198,32400,0.583559155
Texas A & M University-Corpus Christi,Corpus Christi,TX,3,1,11,470,495,450,20,20,21,7,960,0,9137,0.4006,0.0522,0.4602,0.0217,0.0034,0.0004,0.0158,0.0322,0.0136,0.2083,13404,NULL,0.4177,0.5733,NULL,0.5294,NULL,0.5459,0.2097,22750,252.5716375,0.740458015,0.396098083,NULL,42400,0.660528779
Cosmetology Career Center LLC,Carrollton,TX,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,215,0.5628,0.1256,0.2558,0.0465,0.0047,0,0,0.0047,0,0,NULL,19862,0.3731,NULL,0.7895,NULL,NULL,0.5373,0.3442,13310,147.7682855,0.607329843,NULL,0.719555402,23400,0.472636819
Court Reporting Institute of Dallas,Dallas,TX,2,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,183,0.5956,0.1913,0.1585,0,0.0055,0,0.0109,0,0.0383,0.929,NULL,22401,0.285,NULL,0.3636,NULL,0.2857,0.3475,0.8907,PrivacySuppressed,PrivacySuppressed,0.535067873,NULL,0.1302125,30400,0.537078679
Dallas Baptist University,Dallas,TX,3,2,11,564,562,NULL,23,NULL,NULL,NULL,1078,0,3375,0.6231,0.163,0.1241,0.019,0.0065,0.0018,0,0.0625,0,0.2747,NULL,21360,0.3034,0.6973,NULL,0.6667,NULL,0.6157,0.3223,23430,260.1210315,0.786223278,0.547927907,NULL,42200,0.6506024
Dallas Christian College,Dallas,TX,3,2,21,460,449,421,20,19,20,NULL,930,0,316,0.4905,0.2532,0.1835,0,0.019,0.0032,0.0348,0.0032,0.0127,0.2753,NULL,18630,0.4693,0.5833,NULL,0.5,NULL,0.7239,0.3323,PrivacySuppressed,PrivacySuppressed,0.745192308,0.274713187,NULL,42200,0.611940324
Dallas Institute of Funeral Service,Dallas,TX,2,2,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,114,0.4561,0.3158,0.2281,0,0,0,0,0,0,0,NULL,17795,0.8141,NULL,0.84,NULL,NULL,0.7949,0.5702,9500,105.469475,0.598425197,NULL,0.797460759,33200,0.557971001
Dallas Theological Seminary,Dallas,TX,4,2,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL
University of Dallas,Irving,TX,3,2,12,615,595,595,27,28,26,7,1216,0,1374,0.6689,0.0146,0.1863,0.0437,0.0015,0.0007,0.0349,0.0298,0.0197,0.008,NULL,25158,0.2153,0.7705,NULL,NULL,NULL,0.5066,0.021,25640.5,284.662113,0.893905192,0.673553767,NULL,45200,0.679104507
Del Mar College,Corpus Christi,TX,2,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10502,0.2744,0.0311,0.6296,0.016,0.0036,0.0019,0.0252,0.0013,0.0168,0.7098,5167,NULL,0.3755,NULL,0.5662,NULL,0.45,0.1645,0.3709,7000,77.71435,0.564501779,NULL,0.128680277,29100,0.466296047
Career Point College,San Antonio,TX,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,529,0.3781,0.3025,0.3195,0,0,0,0,0,0,0,NULL,22299,0.7384,0.6867,NULL,NULL,NULL,1,0.697,13254,147.1465707,0.269290847,0.511522761,NULL,19400,0.299442887
East Texas Baptist University,Marshall,TX,3,2,32,475,490,NULL,20,19,21,NULL,957,0,1132,0.6422,0.1926,0.1016,0.0035,0.0062,0.0027,0.0327,0.0097,0.0088,0.0601,NULL,17932,0.4601,0.5714,NULL,0.6,NULL,0.722,0.0928,23321,258.9109081,0.769706337,0.324631394,NULL,36700,0.662385345
Texas A & M University-Texarkana,Texarkana,TX,3,1,41,485,510,470,21,21,21,7,993,0,1391,0.6664,0.156,0.1121,0.0151,0.005,0.0022,0.0259,0.0072,0.0101,0.3364,8258,NULL,0.4616,0.403,NULL,0.3333,NULL,0.3971,0.4097,12544.5,139.2696662,0.747524752,NULL,NULL,35800,0.709677398
Texas A & M University-Commerce,Commerce,TX,3,1,32,485,500,NULL,21,20,21,NULL,987,0,6951,0.5464,0.2014,0.1427,0.0168,0.0094,0.0013,0.0306,0.0423,0.0091,0.2558,10459,NULL,0.4948,0.6687,NULL,0.4,NULL,0.5986,0.3336,21228,235.6743174,0.657823914,0.408951058,NULL,37100,0.653787494
Eastfield College,Mesquite,TX,2,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12113,0.264,0.2685,0.3906,0.0383,0.0049,0.0011,0.0082,0.0012,0.0233,0.7548,7054,NULL,0.3699,NULL,0.6311,NULL,0.4606,0.1073,0.3866,PrivacySuppressed,PrivacySuppressed,0.477977162,NULL,0.143839719,31800,0.516094446
El Centro College,Dallas,TX,2,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8854,0.2161,0.32,0.3753,0.0482,0.004,0.0006,0.0073,0.0028,0.0258,0.7981,6033,NULL,0.3924,NULL,0.566,NULL,0.4434,0.1366,0.4711,PrivacySuppressed,PrivacySuppressed,0.455696203,NULL,0.098221287,28800,0.477791131
El Paso Community College,El Paso,TX,2,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,29390,0.0791,0.0234,0.8554,0.0072,0.0036,0.0016,0.0002,0.0182,0.0113,0.6699,3697,NULL,0.4653,NULL,0.6297,NULL,0.5088,0.0613,0.2821,6478,71.9190799,0.61968254,NULL,0.181883896,25500,0.360409558
Western Technical College,El Paso,TX,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,651,0.1674,0.0522,0.702,0.0061,0.0046,0.0031,0.0015,0.0461,0.0169,0.232,NULL,20138,0.702,NULL,0.6349,NULL,0.22,0.6721,0.5699,11204,124.3873682,0.598462448,NULL,0.905531429,30600,0.452282161
Western Technical College,El Paso,TX,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,815,0.1571,0.038,0.789,0.0049,0.0025,0.0025,0.0012,0,0.0049,0.2037,NULL,20284,0.7904,NULL,0.7109,NULL,0.6897,0.7495,0.5055,11204,124.3873682,0.598462448,NULL,0.829927257,30600,0.452282161
Exposito School of Hair Design,Amarillo,TX,1,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,58,0.7586,0.0172,0.2069,0.0172,0,0,0,0,0,0.2759,NULL,10699,0.581,NULL,0.6429,NULL,0.75,0.3619,0.3966,4510,50.0702455,0.441558442,NULL,0.5208625,16600,0.24242425
South University-The Art Institute of Dallas,Dallas,TX,3,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1408,0.1662,0.0774,0.2607,0.0156,0.0057,0.0014,0.0099,0,0.4631,0.2266,NULL,26846,0.5889,0.4615,NULL,0.2857,NULL,0.8091,0.3281,27167,301.6093924,0.349280501,0.295474126,NULL,29800,0.606406331
Fort Worth Beauty School,Fort Worth,TX,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,60,0.7,0.1333,0.15,0,0,0,0,0,0.0167,0.55,NULL,9762,0.8167,NULL,0.791,NULL,0.8571,0.7944,0.4333,7477.5,83.01557888,0.348258706,NULL,0.507,17000,0.236363634
Frank Phillips College,Borger,TX,1,1,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,567,0.6966,0.0705,0.1764,0.0088,0.0265,0.0035,0,0.0035,0.0141,0.3651,6172,NULL,0.3333,NULL,0.4106,NULL,0.5625,0.2072,0.1951,8000,88.8164,0.5,NULL,0.324253678,29500,0.444444448
Galveston College,Galveston,TX,2,1,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1858,0.4483,0.1798,0.2982,0.0258,0.0038,0.0011,0.0038,0.0065,0.0328,0.69,3268,NULL,0.3883,NULL,0.5161,NULL,0.4306,0.1197,0.3801,10125,112.4082563,0.631578947,NULL,0.183379397,30400,0.52011925
Galveston College,Galveston,TX,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10125,112.4082563,0.631578947,NULL,NULL,30400,0.52011925
Grayson College,Denison,TX,2,1,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3967,0.6957,0.0786,0.126,0.0126,0.0217,0.0018,0.0383,0.0204,0.0048,0.4928,8851,NULL,0.4399,NULL,0.5557,NULL,0.4475,0.325,0.3769,8974.5,99.63534773,0.500998004,NULL,0.25091791,32200,0.522842646
Hallmark College,San Antonio,TX,2,2,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,713,0.2917,0.0968,0.5147,0.0238,0.0112,0.0028,0.0561,0.0014,0.0014,0,NULL,16015,0.5625,0.3509,NULL,NULL,NULL,0.5164,0.716,19157,212.6819719,0.480732177,0.520205517,NULL,34400,0.539099514
Hardin-Simmons University,Abilene,TX,3,2,12,500,520,480,23,22,22,NULL,1035,0,1690,0.7243,0.0669,0.1485,0.0083,0.0024,0.0006,0.0249,0.0189,0.0053,0.0793,NULL,21071,0.3379,0.6285,NULL,NULL,NULL,0.604,0.0982,27000,299.75535,0.831389183,0.49249711,NULL,38600,0.676510096
Trinity Valley Community College,Athens,TX,2,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4958,0.6196,0.167,0.0734,0.004,0.0044,0.0002,0.1132,0.0024,0.0157,0.4671,6995,NULL,0.5091,NULL,0.5526,NULL,0.5016,0.2792,0.4594,10500,116.571525,0.442812983,NULL,0.248974264,28500,0.463177115
Hill College,Hillsboro,TX,1,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3580,0.6511,0.0902,0.1944,0.0039,0.0031,0.0042,0.0277,0.0193,0.0061,0.4732,8504,NULL,0.3994,NULL,0.6552,NULL,0.3108,0.2705,0.2945,9942,110.3765811,0.51944793,NULL,0.146692701,28200,0.470807463
Houston Baptist University,Houston,TX,3,2,11,525,540,505,24,23,23,7,1075,0,2165,0.2776,0.1921,0.2605,0.1275,0.0037,0.0023,0.0739,0.036,0.0263,0.0744,NULL,19784,0.4868,0.6284,NULL,0.75,NULL,0.5765,0.1041,25000,277.55125,0.68452381,0.440858592,NULL,43600,0.65934068
University of Houston-Clear Lake,Houston,TX,3,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4691,0.4602,0.0842,0.3326,0.0601,0.0032,0.0013,0.0247,0.0168,0.0168,0.5521,NULL,NULL,0.418,NULL,NULL,NULL,NULL,0.4457,0.5716,18000,199.8369,0.779845956,NULL,NULL,46900,0.769629002
Houston Community College,Houston,TX,2,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,57742,0.1514,0.3104,0.3169,0.0944,0.002,0.0024,0.0141,0.092,0.0163,0.6934,8671,NULL,0.6624,NULL,0.611,NULL,0.4483,0.3319,0.4751,12415,137.8319508,0.435071501,NULL,0.187143257,32700,0.514306068
University of Houston-Downtown,Houston,TX,3,1,11,430,465,NULL,19,17,19,NULL,894,0,13297,0.18,0.2529,0.3947,0.0919,0.0044,0.0032,0.0092,0.052,0.0117,0.483,10898,NULL,0.4744,0.6309,NULL,0.5228,NULL,0.4419,0.485,21000,233.14305,0.663807095,0.129841293,NULL,42800,0.688245296
University of Houston-Victoria,Victoria,TX,3,1,13,440,469,NULL,19,17,19,NULL,903,0,2879,0.4022,0.1657,0.3109,0.0705,0.0024,0.0024,0.0233,0.0149,0.0076,0.4915,9766,NULL,0.4369,0.4781,NULL,0.2222,NULL,0.4932,0.558,16844,187.0029302,0.829268293,NULL,NULL,39300,0.733333349
University of Houston,Houston,TX,3,1,11,550,590,NULL,25,24,25,NULL,1136,0,30357,0.2843,0.1155,0.2998,0.2122,0.0015,0.0026,0.0311,0.0464,0.0067,0.2596,12822,NULL,0.3879,0.8463,NULL,0.7042,NULL,0.4299,0.1935,20426,226.7704733,0.788099852,0.468494619,NULL,48300,0.724969447
Howard College,Big Spring,TX,1,1,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4044,0.4745,0.0326,0.4471,0.0077,0.0032,0.0005,0.0262,0.004,0.0042,0.7374,6506,NULL,0.3396,NULL,0.415,NULL,0.2975,0.1475,0.2092,7632.5,84.73639663,0.552631579,NULL,0.260564636,29200,0.502708554
Howard Payne University,Brownwood,TX,3,2,33,470,485,NULL,20,19,20,NULL,953,0,1059,0.6516,0.0944,0.1974,0.0028,0.0028,0.0009,0.0349,0.0019,0.0132,0.0737,NULL,17678,0.4253,0.6094,NULL,0.5,NULL,0.6664,0.0927,23412.5,259.9267456,0.729032258,0.427591623,NULL,37300,0.535934269
Huston-Tillotson University,Austin,TX,3,2,11,400,400,NULL,15,14,16,NULL,780,0,924,0.04,0.7305,0.1807,0.0043,0.0011,0,0.0032,0.0325,0.0076,0.092,NULL,17868,0.7025,0.5121,NULL,1,NULL,0.8382,0.2365,PrivacySuppressed,PrivacySuppressed,0.397236615,0.253985561,NULL,30500,0.493589729
University of the Incarnate Word,San Antonio,TX,3,2,11,475,490,NULL,21,20,21,NULL,967,0,6346,0.206,0.0703,0.6013,0.0191,0.0036,0.0025,0.011,0.032,0.0542,0.3448,NULL,19405,0.4188,0.6909,NULL,0.375,NULL,0.6301,0.3682,27000,299.75535,0.746872394,0.432219428,NULL,42700,0.688000023
International Business College-El Paso,El Paso,TX,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,196,0.0765,0.0306,0.8929,0,0,0,0,0,0,0.148,NULL,17890,0.93,NULL,0.8283,NULL,0.8095,0.9416,0.3827,9500,105.469475,0.350289017,NULL,0.677755371,19400,0.232804239
International Business College-El Paso,El Paso,TX,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,195,0.1179,0.0462,0.8359,0,0,0,0,0,0,0.4308,NULL,8548,0.7167,NULL,0.7724,NULL,0.84,0.8045,0.5795,9500,105.469475,0.350289017,NULL,0.812683573,19400,0.232804239
ITT Technical Institute-Arlington,Arlington,TX,2,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,612,0.3873,0.3121,0.2435,0.0114,0.0114,0.0033,0.0196,0,0.0114,0.1863,NULL,23932,0.6527,NULL,NULL,NULL,NULL,0.7415,0.7435,25833.5,286.8048087,0.394119686,0.35460239,NULL,38400,0.591855824
ITT Technical Institute-Houston West,Houston,TX,2,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,609,0.1478,0.4056,0.3383,0.0411,0.0016,0,0.0099,0,0.0558,0.0969,NULL,22146,0.7256,NULL,NULL,NULL,NULL,0.8434,0.6897,25833.5,286.8048087,0.394119686,0.559019255,NULL,38400,0.591855824
Jacksonville College-Main Campus,Jacksonville,TX,2,2,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,296,0.4595,0.1351,0.3378,0.0068,0.0101,0.0068,0.0203,0.0236,0,0.1014,NULL,5119,0.3393,NULL,0.4567,NULL,0,0,0.0553,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.252689247,23700,0.39041096
Jarvis Christian College,Hawkins,TX,3,2,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,578,0.0363,0.8858,0.0727,0,0.0017,0.0035,0,0,0,0.0156,NULL,16469,0.9005,0.5829,NULL,0,NULL,0.9619,0.0575,34773.5,386.0571357,0.280701754,0.109722358,NULL,25800,0.264227629
KD College Conservatory of Film and Dramatic Arts,Dallas,TX,2,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,153,0.268,0.3268,0.2288,0.0131,0.0065,0,0.0784,0,0.0784,0,NULL,20080,0.6563,NULL,0.5417,NULL,NULL,0.6,0.2418,20000,222.041,0.469945355,NULL,0.531887234,25700,0.392156869
Kilgore College,Kilgore,TX,2,1,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5764,0.6069,0.2049,0.1381,0.0071,0.0043,0.0005,0.0236,0.0062,0.0083,0.5482,4875,NULL,0.3047,NULL,0.5584,NULL,0.4899,0.2267,0.3106,11500,127.673575,0.452609159,NULL,0.204084923,26500,0.457535893
Lamar University,Beaumont,TX,3,1,12,480,495,NULL,21,NULL,NULL,NULL,974,0,9175,0.4936,0.3019,0.1136,0.0384,0.0045,0.0001,0.015,0.0167,0.0162,0.2802,16109,NULL,0.4556,0.5346,NULL,0.321,NULL,0.5438,0.2882,23182,257.3677231,0.610466845,0.335058824,NULL,38800,0.60657233
Lamar State College-Orange,Orange,TX,1,1,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1938,0.7405,0.1816,0.0588,0.0155,0.0036,0,0,0,0,0.4897,3478,NULL,0.3961,NULL,0.4679,NULL,0.4355,0.2334,0.3252,10280,114.129074,0.485013624,NULL,0.238967732,26600,0.471449494
Lamar State College-Port Arthur,Port Arthur,TX,2,1,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1811,0.3722,0.3617,0.1844,0.0508,0.0066,0.0011,0.011,0.0006,0.0116,0.6483,9632,NULL,0.3423,NULL,0.5667,NULL,0.3529,0.2138,0.4939,9750,108.2449875,0.401069519,NULL,0.229210187,27600,0.460567832
Laredo Beauty College Inc,Laredo,TX,1,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,283,0.0035,0,0.9965,0,0,0,0,0,0,0,NULL,4495,0.8442,NULL,0.7018,NULL,NULL,0,0.4629,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.668524719,16000,0.168478265
Laredo Community College,Laredo,TX,1,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8048,0.0137,0.0016,0.9754,0.0016,0.0005,0.0002,0.0006,0.0009,0.0055,0.6234,4429,NULL,0.5689,NULL,0.6087,NULL,0.4753,0,0.2133,2334,25.9121847,0.618333333,NULL,0.268876033,28300,0.419047624
Texas A & M International University,Laredo,TX,3,1,12,441,465,NULL,18,17,20,NULL,892,0,6560,0.0178,0.0061,0.9454,0.0058,0.0005,0.0002,0.0021,0.0189,0.0032,0.3887,5282,NULL,0.5733,0.737,NULL,0.4167,NULL,0.3872,0.1499,14671.5,162.8837266,0.7374541,0.410215038,NULL,45200,0.64871192
Lee College,Baytown,TX,1,1,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5775,0.414,0.1477,0.3867,0.0133,0.0036,0,0.0109,0.0123,0.0114,0.7527,7175,NULL,0.3592,NULL,0.6297,NULL,0.4953,0.0974,0.3751,9000,99.91845,0.524886878,NULL,0.263991595,28600,0.54954952
LeTourneau University,Longview,TX,3,2,13,570,595,NULL,26,25,26,NULL,1175,0,2173,0.6383,0.0934,0.0911,0.011,0.0046,0.0009,0.0341,0.0456,0.081,0.3907,NULL,19814,0.4086,0.7673,NULL,0.3548,NULL,0.7886,0.4087,29250,324.7349625,0.825286212,0.567371791,NULL,50000,0.782894731
Lincoln College of Technology-Grand Prairie,Grand Prairie,TX,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,867,0.3806,0.1349,0.4245,0.0046,0.0069,0.0012,0.0404,0,0.0069,0,NULL,18338,0.719,NULL,0.8162,NULL,NULL,0.7258,0.2537,12473.5,138.4814207,0.42204644,NULL,0.515664278,35000,0.578613281
Lubbock Hair Academy,Lubbock,TX,1,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,49,0.0816,0.1633,0.7551,0,0,0,0,0,0,0,NULL,11184,0.8193,NULL,0.8462,NULL,NULL,0,0.4694,NULL,NULL,NULL,NULL,0.648975532,PrivacySuppressed,PrivacySuppressed
Lubbock Christian University,Lubbock,TX,3,2,12,500,510,490,22,22,21,NULL,1010,0,1466,0.7156,0.0512,0.2012,0.0027,0.0075,0.0027,0,0.0191,0,0.1419,NULL,19795,0.3927,0.6975,NULL,NULL,NULL,0.7878,0.2123,24998,277.5290459,0.805399325,0.421355105,NULL,36700,0.688622773
College of the Mainland,Texas City,TX,2,1,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4188,0.5275,0.1624,0.2734,0.027,0.0036,0.0017,0.0045,0,0,0.7323,7864,NULL,0.2566,NULL,0.5431,NULL,0.4579,0.0761,0.3338,6813,75.63826665,PrivacySuppressed,NULL,0.138307214,28400,0.469104677
University of Mary Hardin-Baylor,Belton,TX,3,2,23,510,530,480,24,23,23,NULL,1069,0,3006,0.6035,0.1427,0.174,0.0143,0.0057,0.0043,0.0173,0.0233,0.015,0.0775,NULL,22487,0.4098,0.6597,NULL,0.25,NULL,0.6876,0.1786,26784,297.3573072,0.815063386,0.467295223,NULL,41700,0.683831096
McLennan Community College,Waco,TX,2,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7302,0.5575,0.1693,0.2534,0.0111,0.0029,0.0003,0.0007,0.0015,0.0034,0.4799,7455,NULL,0.4814,NULL,0.5246,NULL,0.3922,0.4938,0.3633,15063,167.2301792,0.442146597,NULL,0.192546028,30500,0.506083846
McMurry University,Abilene,TX,3,2,12,480,495,NULL,21,20,22,NULL,982,0,1157,0.5774,0.1608,0.2074,0.0095,0.0069,0.0026,0.0216,0.013,0.0009,0.108,NULL,17803,0.4571,0.5908,NULL,NULL,NULL,0.6637,0.1807,27000,299.75535,0.734717416,0.376627273,NULL,37200,0.634304225
Covenant School of Nursing and Allied Health,Lubbock,TX,1,2,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,310,0.6645,0.0194,0.2065,0.0097,0,0,0.0355,0,0.0645,0,NULL,NULL,0.3625,NULL,NULL,NULL,NULL,0.6117,0.5258,15000,166.53075,0.917475728,NULL,NULL,57600,0.934131742
Metroplex Beauty School,Mesquite,TX,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,58,0.3793,0.2759,0.3103,0.0172,0,0,0.0172,0,0,0.4483,NULL,5399,0.8381,NULL,0.6667,NULL,0.5,0,0.3448,NULL,NULL,NULL,NULL,0.617682941,16800,0.209876537
Midland College,Midland,TX,2,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3406,0.3711,0.0737,0.4789,0.0147,0.0029,0.0012,0.012,0.0026,0.0429,0.6007,7030,NULL,0.2005,NULL,NULL,NULL,NULL,0.0174,0.2352,4500,49.959225,0.71257485,0.12591746,NULL,33500,0.5716573
